nporpoise,df1,df2,Pillai,approxF,p
6,1,55,0.8438052480427372,2.354832921142369,0.0300622830310197
11,1,60,0.9093714745288286,5.6602353159394445,2.9968171862287722e-5
13,1,62,0.8961581743254294,5.3107883056613465,2.7310349203922968e-5
11,1,60,0.8843031474489534,4.311592423828734,2.770720268521554e-4
9,1,58,0.9398865914779296,8.018063451814982,3.55696515869605e-6
4,1,53,0.8720094538780685,2.6204142544407443,0.02368757099808811
12,1,61,0.88449925165616,4.516228433813799,1.4745428669277994e-4
14,1,63,0.8830412935830242,4.83976036168788,4.7285044581033464e-5
13,1,62,0.8732185405566119,4.238516089705499,1.9458689631800423e-4
7,1,56,0.909674717233935,4.648198783722181,4.819885197405586e-4
4,1,53,0.866069295532847,2.487133749726792,0.029972830661520324
16,1,65,0.8845014156608207,5.30177176995329,1.1216070128575804e-5
8,1,57,0.8946597067774889,4.13763664229923,8.028189845914697e-4
8,1,57,0.8805490809096759,3.5913114184543242,0.00204982941934611
11,1,60,0.892071749135817,4.662541614653109,1.4899408412551244e-4
17,1,66,0.8856166428160935,5.558739915996466,5.1208988068947e-6
6,1,55,0.8533274141728848,2.536010596127265,0.0209694233295741
5,1,54,0.8509181621823122,2.3416308502032632,0.034636882226199366
5,1,54,0.7988890817246433,1.6296945470292412,0.1466146724190876
6,1,55,0.8670895580131918,2.843735295597807,0.011657899970296736
16,1,65,0.8914030081119845,5.68270951831261,5.565914115830573e-6
12,1,61,0.861563332094125,3.6702808580029016,7.675036122056776e-4
8,1,57,0.8569371158712219,2.918172572834572,0.007357696021176532
13,1,62,0.9264552937783886,7.7521056772584,7.594612426721253e-7
17,1,66,0.8878064170513359,5.681247199318907,4.073518949659978e-6
12,1,61,0.8804209020313629,4.342084796336612,2.0358916439197118e-4
11,1,60,0.8529431554979677,3.2718464936427107,0.002145850110826548
4,1,53,0.8712719552146989,2.603198073259043,0.024411027313405893
6,1,55,0.8568842421498645,2.609870845984482,0.018161661820332263
7,1,56,0.8670907886496263,3.0110459955444964,0.007228569902897349
3,1,52,0.6945323540553224,0.8161889152382293,0.7029396311647487
14,1,63,0.9070266521914423,6.253699096063347,4.206438696391686e-6
14,1,63,0.8649529292062562,4.105657402582716,2.0209120991331416e-4
12,1,61,0.852281018691092,3.4025909397663687,0.0013552460586533754
9,1,58,0.9088899478173093,5.1157627283812674,1.3090978234879002e-4
6,1,55,0.8477580861015086,2.4272919758441573,0.02599559629116491
7,1,56,0.8949862465033275,3.9334902482303584,0.0014386843388026975
17,1,66,0.8894891545124067,5.778687107983136,3.4041598086883573e-6
5,1,54,0.8777921625566065,2.9467820484794345,0.011436473486910265
16,1,65,0.8885681344371087,5.52052639074873,7.469247999675945e-6
14,1,63,0.8685927931020769,4.237136342309024,1.54014286409622e-4
8,1,57,0.8287422957612501,2.3575362547780934,0.02393109006882768
14,1,63,0.8754773082358958,4.50683642286228,8.965012985027644e-5
4,1,53,0.8796433548214321,2.8110152683057525,0.017082872240250187
4,1,53,0.845515088424351,2.1050477202959583,0.060689999249486815
17,1,66,0.8904052530688299,5.832992253698569,3.0829680243674603e-6
9,1,58,0.8700607200281363,3.433796037090768,0.0022382591837829917
4,1,53,0.8344804192575699,1.9390697219454878,0.08357201709960693
4,1,53,0.8544434767136087,2.2577628196141184,0.04553162698009105
4,1,53,0.772534047381923,1.3062547442481065,0.294993928966848
14,1,63,0.8709899980824206,4.327780122074596,1.280980233570394e-4
5,1,54,0.8884121902785223,3.2662778929117122,0.006672541403685238
9,1,58,0.8659437818721925,3.3125933320754846,0.002832086661699796
6,1,55,0.8675836630757213,2.8559730841782005,0.01139616860398272
4,1,53,0.8095398681103623,1.6347856354272263,0.15274266977294113
17,1,66,0.890996151369219,5.86850420978745,2.8905378825773047e-6
9,1,58,0.8633637153964534,3.240359063954965,0.0032658521516753343
15,1,64,0.9124990822182587,6.952301037530136,9.932315020733742e-7
3,1,52,0.8144515252620104,1.575691821824279,0.18052422769729842
14,1,63,0.8759917822670604,4.528193405458318,8.59667887033646e-5
14,1,63,0.9014230796640353,5.861770742153417,7.877711797959227e-6
11,1,60,0.8892921577225142,4.5313139167702055,1.8718965757942674e-4
16,1,65,0.8830061790334446,5.225164586041091,1.2967995167467343e-5
7,1,56,0.8877093408968222,3.648673957059766,0.0023063898211413605
16,1,65,0.8714086133113951,4.691471969266179,3.719016819138455e-5
16,1,65,0.8828855037862818,5.219067198844331,1.3119495202693505e-5
12,1,61,0.9094726763558698,5.924793303691113,1.4218641365013282e-5
7,1,56,0.8766628298128705,3.2805488657304105,0.004392927114055534
16,1,65,0.9052888888813749,6.61736995935222,1.1400342219939843e-6
