specID,side,origin,sex,cbl
NHMUK_SW1954.15,Left,UK,NA,251
365B,Left,UK,NA,241
365I,Left,Atlantic,NA,NA
NHMUK_92.965,Left,UK,NA,NA
NHMUK_1925.4.29,Left,UK,Male,NA
NHMUK_1933.15,Left,UK,NA,245
NHMUK_1933.17,Right,UK,Male,NA
NHMUK_1934.45,Left,UK,Male,NA
NHMUK_1934.51,Left,UK,NA,251
NHMUK_1965.3.30.1,Left,UK,Female,259
NHMUK_1992.263,Left,UK,NA,NA
NHMUK_SW1926.29,Right,UK,Female,271
NHMUK_SW1934.14,Left,UK,Female,254
NHMUK_SW1934.31,Left,UK,Male,NA
NHMUK_SW1934.32,Left,UK,Male,235
NHMUK_SW1937.24,Left,UK,Female,251
NMB10131,Right,UK,NA,NA
NMVC27654,Left,UK,NA,NA
